lacunarity fractal dimension.
8568139/1.3262542344500687,7.145753827708092,36.422142785123,227.41991104965922,nan
3615056/0.47311784737341595,3.8331575585248587,31.66817949513201,182.26511941451486,293.4205234024751,79.74940961923735
4045934/0.5321606985433021,3.744038816650795,20.317730615275767,13.86363417626687,nan,nan
8501307/0.3761273565974119,2.590346445077899,19.38770986443577,98.5212842552753,992.0316473433912,4031.3208423608085
8595906/0.3651841993138922,2.7204185087844985,16.165199825927292,194.24462022407545,658.4318126681117,78.43199084524639
8350480/0.756899594562366,4.748183466166967,19.085607615735345,173.17436800307345,1087.1005230550657,13165.380762268778
7624578/0.844527712724434,5.909297523209487,41.74242605181935,165.4288377731938,2060.4827188887502,187.62387865356249
1550930/0.6504508652776179,4.433387730106411,13.037760620848209,71.65924382090563,50.661690323996424,66.45667301763825
8517502/0.37424047170948327,2.8752463238922568,18.651785793474037,119.69811360324084,1409.943853584434,343.7320732210853
8294685/0.3667321848959306,2.4930840353966452,13.551410369605081,57.135916059164,219.45661258588623,833.3243134831984
8319432/0.429850269089359,3.2455935310156923,31.956402720935127,164.47617512931384,2254.455435521431,25667.310458677242
8150842/0.6639832249472236,3.3778553029436442,24.385566910535807,209.6467704696451,61.379530505299115,nan
7415880/0.4882296946764712,3.811752712288251,14.43682162222844,107.87552016415111,1834.467747080986,45.27535920744263
8300042/0.4134259938987585,2.4930420886717823,15.998194801734844,122.679701945436,2414.9415503879072,33431.679853486785
7987834/0.4629406899645345,4.285395725081703,23.853608928235566,318.14176805921227,nan,nan
7380907/0.3347685795685796,2.328659778377815,18.21121377317289,128.32110427062364,1295.0881280875608,4765.658219329299
8165165/0.701046495294283,4.620059981786083,35.98127223043427,140.3398829519047,224.77836367276612,3355.9107335415565
5838522/0.5221309504417503,4.0305574438176155,33.13610296583574,159.92190161574317,757.4870739641253,10505.329472442361,88.22152733460966
8205694/0.5170659568175097,3.8009558599491053,20.342684658473623,129.90346680474235,442.4563122412769,64.44097892843031
8221826/0.6418151151775606,4.970610202822553,18.16953781215466,122.84344622780337,312.22631420172155,5825.916261267242
8281598/0.7609244293208564,4.7485861324008845,17.122787891229617,44.235482539923034,76.81464559327286,44.87908690299593
5439413/1.094160610333731,7.475130199030528,56.909627280596666,318.0804312077511,188.7488377789275,98.2969696969697
8353252/0.9998852553069421,6.697670123529574,38.90912582170664,228.2505764464088,373.898173394256,1400.7082848130904
8561102/0.3452066612181032,2.377067666100097,13.201672401260806,77.37512862725939,711.4483317041681,2888.2440222268774
8601186/0.8105263157894738,5.79971186949487,21.64997055910488,207.67400111275552,438.7536036349305,3779.124900191662
8154435/0.72744428933354,4.695151214766005,18.62332075040312,26.801146500412536,42.071424311343186,187.2080393376581
8239152/0.7732131703399661,4.8867366940094,32.87993938161256,104.11364435191187,1320.0888484033405,22284.058416642132
5596598/0.5156630984240261,3.9244700493879523,33.088072080230944,198.32585750505297,932.0130026719903,2008.7059663162072
8319432/0.429850269089359,3.2455935310156923,31.956402720935127,164.47617512931384,2254.455435521431,25667.310458677242
7521746/0.5807372534347655,3.778934859031459,27.84319238241922,37.044226581180425,21.940631164904737,93.5567313790246
8318154/0.7629945006208977,6.0613200733079955,29.675005727794062,111.00667245018113,1498.6259648435791,4784.695247496388
3933890/1.0426790167438547,5.8257936681498315,19.654060020698807,240.49845754439758,30.90679268540403,254.25434148323225
3871328/0.45942393564440803,3.4307825357735364,15.996565975002039,35.39180805782915,515.9689131651356,30.868511541361705
